time,temp_c,rh_pct,wind_ms,solar_wm2,wet_bulb_c,globe_temp_c,WBGT
2015-06-18 00:00:00,29.4,83,4.02,0.0,26.99977809597888,20.644,25.968644667185213
2015-06-18 01:00:00,29.2,84,4.1,0.0,26.953650200281512,20.22,25.83155514019706
2015-06-18 02:00:00,29.0,86,4.21,0.0,27.052447731831304,19.712000000000003,25.77911341228191
2015-06-18 03:00:00,28.9,86,3.8,0.0,26.954909777264508,20.759999999999998,25.910436844085154
2015-06-18 04:00:00,28.8,87,3.93,0.0,27.00285340417959,20.296,25.84119738292571
2015-06-18 05:00:00,28.7,87,3.96,0.0,26.905070907621965,20.112000000000002,25.725949635335375
2015-06-18 06:00:00,28.7,87,3.53,2.0,26.905070907621965,21.339399999999998,25.971429635335372
2015-06-18 07:00:00,29.1,84,3.55,72.0,26.856610645100623,22.5024,26.210107451570433
2015-06-18 08:00:00,30.2,75,3.28,238.0,26.558636373998993,26.300600000000003,26.871165461799293
2015-06-18 09:00:00,31.8,64,3.18,432.0,26.287546228110426,30.4504,27.671362359677296
2015-06-18 10:00:00,33.5,55,2.62,629.0,26.241013912752674,36.0233,28.923369738926873
2015-06-18 11:00:00,35.1,49,2.21,781.0,26.482576103191068,40.5497,30.15774327223375
2015-06-18 12:00:00,35.8,48,2.77,846.0,26.877573568413112,40.4422,30.482741497889172
2015-06-18 13:00:00,36.4,47,4.0,874.0,27.179672590985387,37.925799999999995,30.25093081368977
2015-06-18 14:00:00,36.6,47,4.74,846.0,27.348998778729683,35.726200000000006,29.94953914511078
2015-06-18 15:00:00,36.2,48,4.81,721.0,27.218002637068842,33.6677,29.40614184594819
2015-06-18 16:00:00,35.7,51,4.84,600.0,27.396693021150117,31.668000000000006,29.08128511480508
2015-06-18 17:00:00,35.2,53,4.08,435.0,27.35417301918743,31.365500000000004,28.9410211134312
2015-06-18 18:00:00,34.3,57,4.74,227.0,27.314769630765053,26.1839,27.787118741535537
2015-06-18 19:00:00,33.0,64,4.85,65.0,27.382381446094886,22.680500000000002,27.003767012266422
2015-06-18 20:00:00,32.1,69,4.49,4.0,27.388833249860422,22.0748,26.797143274902297
2015-06-18 21:00:00,31.5,73,4.44,0.0,27.472422588790987,21.567999999999998,26.69429581215369
2015-06-18 22:00:00,31.1,77,4.6,0.0,27.722049360124036,20.720000000000002,26.659434552086825
2015-06-18 23:00:00,30.8,79,4.31,0.0,27.744462297947326,21.232000000000003,26.747523608563128
2015-06-19 00:00:00,30.4,80,3.93,0.0,27.51370512547847,21.896,26.678793587834928
2015-06-19 01:00:00,30.2,82,3.67,0.0,27.62368765931691,22.424,26.841381361521837
2015-06-19 02:00:00,30.0,82,3.59,0.0,27.430631381990413,22.448,26.691041967393286
2015-06-19 03:00:00,29.9,83,2.65,0.0,27.48370556264545,24.98,27.224593893851818
2015-06-19 04:00:00,29.7,83,2.6,0.0,27.290134617925606,24.92,27.057094232547925
2015-06-19 05:00:00,29.6,84,2.57,0.0,27.341808283513853,24.904000000000003,27.0800657984597
2015-06-19 06:00:00,29.5,85,2.68,2.0,27.3926216225108,24.519399999999997,27.028715135757558
2015-06-19 07:00:00,30.0,82,2.92,74.0,27.430631381990413,25.189799999999998,27.239401967393285
2015-06-19 08:00:00,31.2,73,2.92,244.0,27.19026944442654,28.3788,27.82894861109858
2015-06-19 09:00:00,32.7,63,2.86,436.0,26.93845874937229,32.2932,28.585561124560602
2015-06-19 10:00:00,34.2,55,2.75,631.0,26.856993162049996,36.3827,29.496435213435
2015-06-19 11:00:00,35.6,49,2.73,784.0,26.91029193186541,39.628800000000005,30.32296435230579
2015-06-19 12:00:00,36.6,44,2.81,886.0,26.706937746862298,41.5982,30.674496422803607
2015-06-19 13:00:00,37.4,42,3.2,921.0,26.924893568653424,41.7157,30.930565498057398
2015-06-19 14:00:00,37.9,42,4.29,891.0,27.33643187206003,38.8127,30.688042310442018
2015-06-19 15:00:00,37.3,43,6.02,764.0,27.067587511644838,31.8828,29.053871258151386
2015-06-19 16:00:00,36.3,46,6.31,524.0,26.884703859613982,27.2628,27.901852701729783
2015-06-19 17:00:00,35.7,49,6.23,409.0,26.99583499806438,25.541300000000003,27.575344498645066
2015-06-19 18:00:00,34.5,54,6.09,236.0,26.93312500782338,22.709200000000003,26.845027505476367
2015-06-19 19:00:00,33.2,62,5.72,66.0,27.220021984157825,20.456200000000003,26.465255388910478
2015-06-19 20:00:00,32.4,67,5.13,4.0,27.336995237519577,20.5828,26.492456666263706
2015-06-19 21:00:00,31.9,71,4.69,0.0,27.527304460906347,21.268,26.712713122634444
2015-06-19 22:00:00,31.5,74,4.3,0.0,27.63092146613379,21.96,26.88364502629365
2015-06-19 23:00:00,31.2,77,4.08,0.0,27.81723877309741,22.276,27.047267141168188
2015-06-20 00:00:00,31.0,79,3.83,0.0,27.935933529365013,22.776,27.210353470555507
2015-06-20 01:00:00,30.8,80,3.45,0.0,27.897718302587325,23.64,27.336402811811126
2015-06-20 02:00:00,30.6,81,2.92,0.0,27.857975350485564,24.924,27.545382745339893
2015-06-20 03:00:00,30.4,82,3.09,0.0,27.81674388001377,24.247999999999998,27.361320716009637
2015-06-20 04:00:00,30.2,83,2.73,0.0,27.77406187559929,25.056,27.473043312919504
2015-06-20 05:00:00,30.1,84,2.69,0.0,27.827005580910015,25.068,27.50250390663701
2015-06-20 06:00:00,30.0,84,2.56,2.0,27.72996614849679,25.3554,27.48205630394775
2015-06-20 07:00:00,30.7,80,2.72,72.0,27.801715030461136,26.4264,27.816480521322795
2015-06-20 08:00:00,32.2,69,3.16,235.0,27.481679415019816,28.6015,28.177475590513872
2015-06-20 09:00:00,34.1,58,3.42,436.0,27.319320781727985,32.1252,28.958564547209587
2015-06-20 10:00:00,35.9,49,3.64,627.0,27.16692103186415,35.5439,29.715624722304902
2015-06-20 11:00:00,37.4,43,3.86,776.0,27.150385334930526,38.1712,30.379509734451368
2015-06-20 12:00:00,38.4,39,3.96,864.0,27.038662082371843,39.9208,30.751223457660288
2015-06-20 13:00:00,39.1,37,4.2,863.0,27.10716841250847,39.93710000000001,30.87243788875593
2015-06-20 14:00:00,39.4,36,4.57,827.0,27.090590774090863,38.7799,30.659393541863604
2015-06-20 15:00:00,39.3,37,4.65,780.0,27.266560103856158,37.90599999999999,30.597792072699306
2015-06-20 16:00:00,38.3,41,5.35,574.0,27.432835244990958,32.5358,29.54014467149367
2015-06-20 17:00:00,37.0,46,3.75,462.0,27.474176951505914,34.4054,29.81300386605414
2015-06-20 18:00:00,35.7,51,3.69,212.0,27.396693021150117,30.348400000000005,28.81736511480508
2015-06-20 19:00:00,34.6,58,4.61,71.0,27.76497234962699,25.0227,27.900020644738895
2015-06-20 20:00:00,33.3,68,4.39,4.0,28.335396311311673,23.554799999999997,27.875737417918167
2015-06-20 21:00:00,32.6,72,3.95,0.0,28.344600584087292,24.04,27.909220408861106
2015-06-20 22:00:00,32.2,75,3.45,0.0,28.45119932225398,25.040000000000003,28.143839525577782
2015-06-20 23:00:00,31.9,76,3.22,0.0,28.325733192005263,25.384,28.094813234403684
2015-06-21 00:00:00,31.8,75,2.61,0.0,28.07268726388053,26.992,28.22928108471637
2015-06-21 01:00:00,31.7,75,2.22,0.0,27.978059208364538,27.983999999999998,28.35144144585518
2015-06-21 02:00:00,31.5,75,1.63,0.0,27.788803047902665,29.436,28.489362133531863
2015-06-21 03:00:00,31.2,76,1.26,0.0,27.661358642443926,30.172,28.51735104971075
2015-06-21 04:00:00,31.0,77,1.7,0.0,27.626859931320727,28.740000000000002,28.18680195192451
2015-06-21 05:00:00,30.8,77,1.93,0.0,27.43648102604814,27.896,27.864736718233694
2015-06-21 06:00:00,30.9,77,2.18,1.0,27.53167048664349,27.3077,27.82370934065044
2015-06-21 07:00:00,31.9,69,2.77,58.0,27.203140861432647,27.3226,27.696718603002854
2015-06-21 08:00:00,34.4,53,3.5,228.0,26.656509047345786,29.7676,28.05307633314205
2015-06-21 09:00:00,36.5,42,3.81,427.0,26.18412209325055,33.3279,28.64446546527538
2015-06-21 10:00:00,37.9,39,4.08,616.0,26.63478929183038,36.1832,29.670992504281266
2015-06-21 11:00:00,39.2,37,4.47,770.0,27.186864280775957,38.193000000000005,30.58940499654317
2015-06-21 12:00:00,39.7,39,5.1,844.0,28.08872634399496,37.79480000000001,31.19106844079647
2015-06-21 13:00:00,40.7,36,5.73,890.0,28.119386223691055,37.569,31.267370356583736
2015-06-21 14:00:00,40.5,37,6.33,841.0,28.22290651986638,35.115700000000004,30.829174563906466
2015-06-21 15:00:00,40.1,38,5.1,549.0,28.159822626429783,34.743300000000005,30.67053583850085
2015-06-21 16:00:00,40.9,36,5.1,450.0,28.277661772366155,34.385000000000005,30.76136324065631
2015-06-21 17:00:00,41.0,35,4.81,413.0,28.088051356938646,34.8641,30.73445594985705
2015-06-21 18:00:00,40.1,36,3.89,241.0,27.644558508643566,34.527699999999996,30.266730956050495
2015-06-21 19:00:00,38.7,38,3.28,74.0,27.03645132003736,32.881800000000005,29.371875924026153
2015-06-21 20:00:00,38.3,40,1.92,3.0,27.196955840290197,35.4591,29.959689088203135
2015-06-21 21:00:00,35.9,48,2.44,0.0,26.96268088623878,31.567999999999998,28.777476620367146
2015-06-21 22:00:00,34.8,53,2.5,0.0,27.00534126960418,30.299999999999997,28.443738888722923
2015-06-21 23:00:00,34.5,55,2.14,0.0,27.12098384438886,31.008,28.6362886910722
2015-06-22 00:00:00,34.9,58,1.49,0.0,28.03236298751926,33.227999999999994,29.75825409126348
2015-06-22 01:00:00,34.3,63,0.92,0.0,28.392842269156258,34.224,30.14978958840938
